"","Speaker","Date","word_sum","utterances","mlu"
"1","CHI",1963-06-04,413,211,1.95734597156398
"2","CHI",1963-10-28,225,125,1.8
"3","CHI",1963-10-30,578,319,1.81191222570533
"4","CHI",1963-11-11,634,417,1.52038369304556
"5","CHI",1963-11-14,237,148,1.60135135135135
"6","CHI",1963-11-18,299,213,1.4037558685446
"7","CHI",1963-11-20,449,274,1.63868613138686
"8","CHI",1963-12-02,497,324,1.53395061728395
"9","CHI",1963-12-04,736,388,1.89690721649485
"10","CHI",1963-12-09,408,258,1.58139534883721
"11","CHI",1963-12-11,707,460,1.53695652173913
"12","CHI",1963-12-18,601,340,1.76764705882353
"13","CHI",1963-12-31,531,306,1.73529411764706
"14","CHI",1964-01-07,519,303,1.71287128712871
"15","CHI",1964-01-18,394,188,2.09574468085106
"16","CHI",1964-01-22,579,346,1.67341040462428
"17","CHI",1964-02-05,739,464,1.5926724137931
"18","CHI",1964-02-12,910,489,1.86094069529652
"19","CHI",1964-02-22,184,101,1.82178217821782
"20","CHI",1964-02-28,479,282,1.69858156028369
"21","CHI",1964-03-04,753,374,2.01336898395722
"22","CHI",1964-03-11,323,181,1.78453038674033
"23","CHI",1964-03-20,533,290,1.83793103448276
"24","CHI",1964-03-25,684,348,1.96551724137931
"25","CHI",1964-04-17,1595,708,2.25282485875706
"26","CHI",1964-05-07,491,283,1.73498233215548
"27","CHI",1964-05-12,1183,585,2.02222222222222
"28","CHI",1964-05-21,445,212,2.09905660377358
"29","CHI",1964-05-28,849,352,2.41193181818182
"30","CHI",1964-06-12,542,223,2.4304932735426
"31","CHI",1964-06-16,633,318,1.99056603773585
"32","CHI",1964-06-25,690,291,2.37113402061856
"33","CHI",1964-07-09,1252,552,2.26811594202899
"34","CHI",1964-07-15,470,205,2.29268292682927
"35","CHI",1964-07-22,376,208,1.80769230769231
"36","CHI",1964-08-10,1718,635,2.70551181102362
"37","CHI",1964-08-19,729,300,2.43
"38","CHI",1964-08-26,611,233,2.62231759656652
"39","CHI",1964-09-02,890,363,2.45179063360882
"40","CHI",1964-09-09,633,280,2.26071428571429
"41","CHI",1964-09-16,790,309,2.55663430420712
"42","CHI",1964-10-08,907,299,3.03344481605351
"43","CHI",1964-10-15,923,292,3.16095890410959
"44","CHI",1964-10-29,1208,480,2.51666666666667
"45","CHI",1964-11-06,1124,361,3.11357340720222
"46","CHI",1964-11-12,703,243,2.89300411522634
"47","CHI",1964-11-19,587,242,2.42561983471074
"48","CHI",1964-12-01,701,258,2.71705426356589
"49","CHI",1964-12-08,686,272,2.52205882352941
